system,algorithm,budget,mean_best_found,std_best_found,mean_gap,std_gap,runs,optimum,worst
LLVM,rf_smbo,40,54210.246666666666,1513.020813662097,0.03744371647628828,0.029432537848635518,30,52285.4,103691.8
LLVM,random_search,41,59709.753333333334,2578.5050224598303,0.14442468901407862,0.0501592218568083,30,52285.4,103691.8
LLVM,rf_smbo,41,54199.40666666666,1505.734526661859,0.03723284779067715,0.029290798940634983,30,52285.4,103691.8
LLVM,random_search,42,59709.753333333334,2578.5050224598303,0.14442468901407862,0.0501592218568083,30,52285.4,103691.8
LLVM,rf_smbo,42,54145.88,1526.2648647981262,0.036191602602010625,0.029690172134172514,30,52285.4,103691.8
LLVM,random_search,43,59709.753333333334,2578.5050224598303,0.14442468901407862,0.0501592218568083,30,52285.4,103691.8
LLVM,rf_smbo,43,54138.96666666667,1518.903215080411,0.036057118698579665,0.0295469672079821,30,52285.4,103691.8
LLVM,random_search,44,59469.653333333335,2357.0261122035104,0.13975406434477672,0.04585083009515372,30,52285.4,103691.8
LLVM,rf_smbo,44,54023.026666666665,1581.1053861216797,0.03380175749841782,0.030756975515143645,30,52285.4,103691.8
LLVM,random_search,45,59464.54,2353.3984695065687,0.13965459553674245,0.04578026217565456,30,52285.4,103691.8
LLVM,rf_smbo,45,53917.78666666667,1605.0583454285659,0.03175454158755847,0.031222928379123334,30,52285.4,103691.8
LLVM,random_search,46,59266.253333333334,2010.3362024081052,0.13579735856495168,0.039106729948179715,30,52285.4,103691.8
LLVM,rf_smbo,46,53917.78666666667,1605.0583454285659,0.03175454158755847,0.031222928379123334,30,52285.4,103691.8
LLVM,random_search,47,59248.58666666667,2018.5632219961315,0.13545369188791015,0.039266768768015874,30,52285.4,103691.8
LLVM,rf_smbo,47,53917.78666666667,1605.0583454285659,0.03175454158755847,0.031222928379123334,30,52285.4,103691.8
LLVM,random_search,48,59248.58666666667,2018.5632219961315,0.13545369188791015,0.039266768768015874,30,52285.4,103691.8
LLVM,rf_smbo,48,53917.78666666667,1605.0583454285659,0.03175454158755847,0.031222928379123334,30,52285.4,103691.8
LLVM,random_search,49,59231.206666666665,1987.7051148000558,0.1351156016890244,0.03866649123066496,30,52285.4,103691.8
LLVM,rf_smbo,49,53839.079999999994,1546.8553993449937,0.030223474119953915,0.03009071631829876,30,52285.4,103691.8
LLVM,random_search,50,59231.206666666665,1987.7051148000558,0.1351156016890244,0.03866649123066496,30,52285.4,103691.8
LLVM,rf_smbo,50,53682.793333333335,1453.2190147330195,0.027183256040752366,0.02826922357397172,30,52285.4,103691.8
x264,random_search,1,67.76899999999999,40.13523563893831,0.26525657215015497,0.2303710001087034,30,21.556,195.776
x264,rf_smbo,1,68.12586666666667,34.858411643768804,0.2673049401140321,0.2000827209491953,30,21.556,195.776
x264,random_search,2,49.0014,22.47268113863187,0.15753300424750316,0.12899024875807527,30,21.556,195.776
x264,rf_smbo,2,43.88393333333333,20.25459954903957,0.12815941529866454,0.11625875071197093,30,21.556,195.776
x264,random_search,3,44.134,20.669254561738096,0.12959476523935254,0.11863881621936688,30,21.556,195.776
x264,rf_smbo,3,36.402,14.59036703468753,0.0852140971185857,0.08374679735212681,30,21.556,195.776
x264,random_search,4,38.03353333333334,14.078134307066973,0.09457888493475682,0.08080664853097792,30,21.556,195.776
x264,rf_smbo,4,34.1346,13.708717570243017,0.072199517850993,0.07868624480681335,30,21.556,195.776
x264,random_search,5,37.190666666666665,14.054632931904509,0.0897409405732216,0.08067175371314723,30,21.556,195.776
x264,rf_smbo,5,32.049933333333335,10.84745611345505,0.060233804002602066,0.0622629784953223,30,21.556,195.776
x264,random_search,6,33.437533333333334,10.158270864036183,0.06819844640875522,0.058307145356653566,30,21.556,195.776
x264,rf_smbo,6,30.044333333333334,7.944937509067552,0.048721922473500934,0.04560290155589227,30,21.556,195.776
x264,random_search,7,32.4996,9.777323636336028,0.06281483182183446,0.05612055812384358,30,21.556,195.776
x264,rf_smbo,7,29.068533333333335,7.312567546323262,0.043120958175486925,0.041973180727374944,30,21.556,195.776
x264,random_search,8,30.556333333333335,9.25092466704828,0.051660735468564645,0.05309909692944713,30,21.556,195.776
x264,rf_smbo,8,27.2718,5.524877563942184,0.03280794397887728,0.031712074181736785,30,21.556,195.776
x264,random_search,9,29.874466666666667,8.53525594926949,0.04774691003711782,0.048991252148257905,30,21.556,195.776
x264,rf_smbo,9,26.6602,5.530684919859259,0.029297440018367576,0.031745407644697854,30,21.556,195.776
x264,random_search,10,28.48886666666667,6.8705801930045,0.03979374736922665,0.039436231161775345,30,21.556,195.776
x264,rf_smbo,10,25.425133333333335,5.053842394369498,0.022208318983660498,0.029008393952298813,30,21.556,195.776
x264,random_search,11,27.9898,6.470192628374821,0.03692917001492366,0.03713805893912765,30,21.556,195.776
x264,rf_smbo,11,24.767999999999997,4.6770628272084585,0.01843645964872,0.026845728545565706,30,21.556,195.776
x264,random_search,12,27.85373333333333,6.075408968401495,0.03614816515516779,0.03487205239582996,30,21.556,195.776
x264,rf_smbo,12,24.358333333333334,4.129596426247747,0.016085026594726968,0.02370334305044051,30,21.556,195.776
x264,random_search,13,27.149066666666666,5.255827235215859,0.032103470707534526,0.03016776050519951,30,21.556,195.776
x264,rf_smbo,13,23.728666666666665,2.7115095341936364,0.012470822331917491,0.01556370987368635,30,21.556,195.776
x264,random_search,14,26.404333333333334,4.83728082873963,0.027828798836719848,0.027765358906782396,30,21.556,195.776
x264,rf_smbo,14,23.18,2.1137370077497897,0.009321547468717706,0.012132573801801112,30,21.556,195.776
